VehicleId,VehicleDescription,Make,Model,ModelYear,ComplaintsCount,RecallsCount,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,InvestigationCount,VehiclePicture
20218,2025 Lexus LC 500h 2 DR RWD,LEXUS,LC 500H,2025,0.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20053,2025 Lincoln Aviator SUV 4WD,LINCOLN,AVIATOR,2025,4.0,9.0,5,5,5,5,,,5,5,5,,,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,https://static.nhtsa.gov/images/vehicles/54562_cc0640_032_M7.png
20052,2025 Lincoln Aviator SUV RWD,LINCOLN,AVIATOR,2025,4.0,9.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20361,2025 Lincoln Corsair Gas SUV AWD,LINCOLN,CORSAIR GAS,2025,0.0,2.0,5,5,5,5,,,5,5,5,,,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,
20362,2025 Lincoln Corsair PHEV SUV AWD,LINCOLN,CORSAIR PHEV,2025,0.0,0.0,Not Rated,4,4,5,,,5,5,5,,,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,,,Standard,Standard,Standard,0.0,
20360,2025 Lincoln Corsair Gas SUV FWD,LINCOLN,CORSAIR GAS,2025,0.0,2.0,5,5,5,5,,,5,5,5,,,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,,,Standard,Standard,Standard,0.0,
20363,2025 Lincoln Nautilus SUV AWD,LINCOLN,NAUTILUS,2025,4.0,4.0,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15359P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15405P001.jpg,,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15404P001.jpg,,Standard,Standard,Standard,0.0,https://static.nhtsa.gov/images/vehicles/55060_cc0640_032_LG.png
20364,2025 Lincoln Nautilus FHEV SUV AWD,LINCOLN,NAUTILUS FHEV,2025,1.0,0.0,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2025/v15359P001.jpg,,5,5,5,https://static.nhtsa.gov/crashTest/images/2025/v15405P001.jpg,,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2025/v15404P001.jpg,,Standard,Standard,Standard,0.0,
20365,2025 Lincoln Navigator SUV 4WD,LINCOLN,NAVIGATOR,2025,1.0,2.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
20366,2025 Lincoln Navigator L SUV 4WD,LINCOLN,NAVIGATOR L,2025,0.0,0.0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,Standard,Standard,0.0,
