vehicleId;vehicleDescription;make;model;modelYear;complaintsCount;recallsCount;overallRating;overallFrontCrashRating;frontCrashDriversideRating;frontCrashPassengersideRating;frontCrashPicture;frontCrashVideo;overallSideCrashRating;sideCrashDriversideRating;sideCrashPassengersideRating;sideCrashPicture;sideCrashVideo;combinedSideBarrierAndPoleRating-Front;combinedSideBarrierAndPoleRating-Rear;sideBarrierRating-Overall;rolloverRating;rolloverRating2;rolloverPossibility;rolloverPossibility2;dynamicTipResult;sidePoleCrashRating;sidePolePicture;sidePoleVideo;nHTSAElectronicStabilityControl;nHTSAForwardCollisionWarning;nHTSALaneDepartureWarning;investigationCount;vehiclePicture
20335;2025 Ford Maverick Later Release PU/CC FWD;FORD;MAVERICK LATER RELEASE;2025;16;2;4;5;5;4;https://static.nhtsa.gov/crashTest/images/2025/v14127P084.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14212P105.jpg;;5;5;5;4;;0.169;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14128P074.jpg;;Standard;Standard & Optional;Optional;0;
20340;2025 Ford Mustang C RWD;FORD;MUSTANG;2025;3;3;;;;;;;;;;;;;;;5;;0.079;0.0;No Tip;;;;Standard;Standard & Optional;Standard;0;https://static.nhtsa.gov/images/vehicles/53556_st0640_046.png
20794;2025 Ford Mustang GTD 2 DR RWD;FORD;MUSTANG GTD;2025;0;0;5;5;5;5;;;5;5;;;;5;;5;5;;0.079;0.0;No Tip;5;;;Standard;Standard;Standard;0;
20339;2025 Ford Mustang 2 DR RWD;FORD;MUSTANG;2025;3;3;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14497P088.JPG;;5;5;4;https://static.nhtsa.gov/crashTest/images/2025/v14499P105.JPG;;5;4;5;5;;0.079;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14498P074.JPG;;Standard;Standard & Optional;Standard;0;https://static.nhtsa.gov/images/vehicles/53556_st0640_046.png
20342;2025 Ford Mustang Mach-E BEV SUV AWD;FORD;MUSTANG MACH-E BEV;2025;3;3;5;4;4;4;https://static.nhtsa.gov/crashTest/images/2025/v15044P122.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v15044C020.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14078P039.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14078C013.wmv;5;5;5;5;;0.086;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14076P039.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14076C013.wmv;Standard;Standard;Standard;0;
20341;2025 Ford Mustang Mach-E BEV SUV RWD;FORD;MUSTANG MACH-E BEV;2025;3;3;5;4;4;4;https://static.nhtsa.gov/crashTest/images/2025/v15044P122.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v15044C020.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14078P039.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14078C013.wmv;5;5;5;5;;0.095;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v14076P039.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14076C013.wmv;Standard;Standard;Standard;0;
20344;2025 Ford Ranger (Super Crew) PU/CC 4WD;FORD;RANGER (SUPER CREW);2025;5;5;4;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v15087P087.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v15084P105.jpg;;5;5;5;3;;0.228;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v15200P074.jpg;;Standard;Standard & Optional;Optional;0;
20343;2025 Ford Ranger (Super Crew) PU/CC RWD;FORD;RANGER (SUPER CREW);2025;5;5;4;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v15087P087.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v15084P105.jpg;;5;5;5;3;;0.279;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v15200P074.jpg;;Standard;Standard & Optional;Optional;0;
20357;2025 Ford TRANSIT HIGH ROOF 12 PASS PV AWD;FORD;TRANSIT HIGH ROOF 12 PASS;2025;1;2;3;3;4;2;https://static.nhtsa.gov/crashTest/images/2025/v10974P082.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10974C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v08997P105.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v08997C012.wmv;5;5;5;1;;0.423;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v08995P075.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v08995C012.wmv;Standard;Standard & Optional;Standard;0;
20356;2025 Ford TRANSIT HIGH ROOF 12 PASS PV RWD;FORD;TRANSIT HIGH ROOF 12 PASS;2025;1;2;2;3;4;2;https://static.nhtsa.gov/crashTest/images/2025/v10974P082.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10974C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v08997P105.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v08997C012.wmv;5;5;5;1;;0.516;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v08995P075.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v08995C012.wmv;Standard;Standard & Optional;Standard;0;
